Model name, kernel, degree, C, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf_1_2, poly, 2, 1.0, 0.8428, 0.8417124901806756, 0.8439282803585982, 0.8483768804433888, 0.8371059013742926, 2143, 383, 403, 2071
tfidf_1_2, poly, 3, 1.0, 0.7568, 0.9112333071484682, 0.5965770171149144, 0.7009063444108762, 0.8662721893491124, 2320, 990, 226, 1464
tfidf_1_2, sigmoid, -1, 1.0, 0.8684, 0.8680282796543598, 0.8687856560717196, 0.872827804107425, 0.8638573743922204, 2210, 322, 336, 2132
tfidf_1_2, linear, -1, 0.1, 0.8314, 0.7804399057344855, 0.8842705786471068, 0.8749449581682078, 0.7951630633931843, 1987, 284, 559, 2170
tfidf_1_2, rbf, -1, 0.1, 0.7738, 0.6311861743912018, 0.921760391198044, 0.8932740411339634, 0.7066541705716963, 1607, 192, 939, 2262
tfidf_1_2, poly, 2, 0.1, 0.7892, 0.8951296150824823, 0.6792991035044825, 0.7433137638617091, 0.8619441571871769, 2279, 787, 267, 1667
tfidf_1_2, poly, 3, 0.1, 0.4944, 0.007462686567164179, 0.9995925020374898, 0.95, 0.49257028112449797, 19, 1, 2527, 2453
tfidf_1_2, sigmoid, -1, 0.1, 0.8306, 0.7784760408483896, 0.884678076609617, 0.8750551876379691, 0.7937842778793419, 1982, 283, 564, 2171
tfidf_1_2, linear, -1, 0.01, 0.78, 0.6539670070699136, 0.910757946210269, 0.8837579617834395, 0.7172657252888318, 1665, 219, 881, 2235
tfidf_1_2, rbf, -1, 0.01, 0.779, 0.6531814611154753, 0.9095354523227384, 0.8822281167108753, 0.7165329052969502, 1663, 222, 883, 2232
tfidf_1_2, poly, 2, 0.01, 0.7892, 0.8951296150824823, 0.6792991035044825, 0.7433137638617091, 0.8619441571871769, 2279, 787, 267, 1667
tfidf_1_2, poly, 3, 0.01, 0.4944, 0.007462686567164179, 0.9995925020374898, 0.95, 0.49257028112449797, 19, 1, 2527, 2453
tfidf_1_2, sigmoid, -1, 0.01, 0.78, 0.6539670070699136, 0.910757946210269, 0.8837579617834395, 0.7172657252888318, 1665, 219, 881, 2235
