Model name, kernel, degree, C, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_1, linear, -1, 1.0, 0.783, 0.7953652788688138, 0.7701711491442543, 0.7821552723059096, 0.7839070924927416, 2025, 564, 521, 1890
bow_1_1, rbf, -1, 1.0, 0.7998, 0.7124901806755696, 0.8903830480847595, 0.870859337493999, 0.7490572505999314, 1814, 269, 732, 2185
bow_1_1, poly, 2, 1.0, 0.5584, 0.9332285938727416, 0.16951915240423798, 0.5382872677843226, 0.7098976109215017, 2376, 2038, 170, 416
bow_1_1, poly, 3, 1.0, 0.525, 0.9748625294579732, 0.0582722086389568, 0.5178385145003129, 0.6908212560386473, 2482, 2311, 64, 143
bow_1_1, sigmoid, -1, 1.0, 0.8188, 0.8240377062058131, 0.8133659331703341, 0.8208137715179968, 0.8166939443535188, 2098, 458, 448, 1996
bow_1_1, linear, -1, 0.1, 0.783, 0.7953652788688138, 0.7701711491442543, 0.7821552723059096, 0.7839070924927416, 2025, 564, 521, 1890
bow_1_1, rbf, -1, 0.1, 0.55, 0.5039277297721917, 0.597799511002445, 0.5651982378854625, 0.5373626373626373, 1283, 987, 1263, 1467
bow_1_1, poly, 2, 0.1, 0.5186, 0.9925373134328358, 0.02689486552567237, 0.5141403865717192, 0.7764705882352941, 2527, 2388, 19, 66
bow_1_1, poly, 3, 0.1, 0.5146, 0.9941084053417125, 0.017114914425427872, 0.5120372243576775, 0.7368421052631579, 2531, 2412, 15, 42
bow_1_1, sigmoid, -1, 0.1, 0.6718, 0.9697564807541241, 0.36267318663406684, 0.6121993553186214, 0.9203722854188211, 2469, 1564, 77, 890
bow_1_1, linear, -1, 0.01, 0.7884, 0.8008641005498822, 0.7754686226568868, 0.7872586872586873, 0.7896265560165975, 2039, 551, 507, 1903
bow_1_1, rbf, -1, 0.01, 0.5362, 0.48114689709347996, 0.5933170334148329, 0.5510571300044984, 0.5243068059056536, 1225, 998, 1321, 1456
bow_1_1, poly, 2, 0.01, 0.5094, 0.9996072270227808, 0.0008149959250203749, 0.50930558335001, 0.6666666666666666, 2545, 2452, 1, 2
bow_1_1, poly, 3, 0.01, 0.5104, 0.9980361351139042, 0.004482477587612062, 0.5098314606741573, 0.6875, 2541, 2443, 5, 11
bow_1_1, sigmoid, -1, 0.01, 0.5908, 0.9890023566378633, 0.17766911165444174, 0.5551146384479718, 0.9396551724137931, 2518, 2018, 28, 436
bow_1_2, linear, -1, 1.0, 0.8146, 0.819324430479183, 0.8096984515077424, 0.8170779475127301, 0.8120147118921128, 2086, 467, 460, 1987
bow_1_2, rbf, -1, 1.0, 0.8046, 0.8283582089552238, 0.7799511002444988, 0.796149490373726, 0.8141216503615483, 2109, 540, 437, 1914
bow_1_2, poly, 2, 1.0, 0.5786, 0.9497250589159466, 0.19356153219233904, 0.5499204002729133, 0.7877280265339967, 2418, 1979, 128, 475
bow_1_2, poly, 3, 1.0, 0.5208, 0.9886095836606441, 0.035452322738386305, 0.5153562653562653, 0.75, 2517, 2367, 29, 87
bow_1_2, sigmoid, -1, 1.0, 0.8326, 0.8271798900235664, 0.8382233088834555, 0.8413903316020775, 0.8237885462555066, 2106, 397, 440, 2057
bow_1_2, linear, -1, 0.1, 0.8146, 0.819324430479183, 0.8096984515077424, 0.8170779475127301, 0.8120147118921128, 2086, 467, 460, 1987
bow_1_2, rbf, -1, 0.1, 0.5354, 0.7101335428122545, 0.3541157294213529, 0.5328617742410846, 0.5407591785936527, 1808, 1585, 738, 869
bow_1_2, poly, 2, 0.1, 0.5134, 0.997643362136685, 0.011002444987775062, 0.5113750754982888, 0.8181818181818182, 2540, 2427, 6, 27
bow_1_2, poly, 3, 0.1, 0.5118, 0.9980361351139042, 0.007334963325183374, 0.510548523206751, 0.782608695652174, 2541, 2436, 5, 18
bow_1_2, sigmoid, -1, 0.1, 0.6658, 0.9791830322073841, 0.3406682966585167, 0.6064217951836536, 0.9403824521934758, 2493, 1618, 53, 836
bow_1_2, linear, -1, 0.01, 0.8146, 0.819324430479183, 0.8096984515077424, 0.8170779475127301, 0.8120147118921128, 2086, 467, 460, 1987
bow_1_2, rbf, -1, 0.01, 0.5354, 0.7101335428122545, 0.3541157294213529, 0.5328617742410846, 0.5407591785936527, 1808, 1585, 738, 869
bow_1_2, poly, 2, 0.01, 0.5094, 1.0, 0.00040749796251018743, 0.5093018603720744, 1.0, 2546, 2453, 0, 1
bow_1_2, poly, 3, 0.01, 0.5092, 0.9996072270227808, 0.00040749796251018743, 0.509203681472589, 0.5, 2545, 2453, 1, 1
bow_1_2, sigmoid, -1, 0.01, 0.674, 0.9756480754124116, 0.3610431947840261, 0.6130306021717671, 0.9345991561181435, 2484, 1568, 62, 886
tfidf_1, linear, -1, 1.0, 0.8552, 0.8601728201099764, 0.850040749796251, 0.856137607505864, 0.8542178542178542, 2190, 368, 356, 2086
tfidf_1, rbf, -1, 1.0, 0.8664, 0.8648860958366065, 0.8679706601466992, 0.8717339667458432, 0.8609539207760711, 2202, 324, 344, 2130
tfidf_1, poly, 2, 1.0, 0.8512, 0.8472113118617439, 0.8553382233088834, 0.8586783439490446, 0.8436495176848875, 2157, 355, 389, 2099
tfidf_1, poly, 3, 1.0, 0.8014, 0.8165750196386489, 0.7856560717196414, 0.7980806142034549, 0.8050104384133612, 2079, 526, 467, 1928
tfidf_1, sigmoid, -1, 1.0, 0.856, 0.8574234092694423, 0.8545232273838631, 0.8594488188976378, 0.8524390243902439, 2183, 357, 363, 2097
tfidf_1, linear, -1, 0.1, 0.8398, 0.7941869599371564, 0.887123064384678, 0.8795128316659417, 0.8059977786005184, 2022, 277, 524, 2177
tfidf_1, rbf, -1, 0.1, 0.7524, 0.5761979575805185, 0.9352078239608802, 0.9022140221402214, 0.6802015411973918, 1467, 159, 1079, 2295
tfidf_1, poly, 2, 0.1, 0.559, 0.14100549882168106, 0.9926650366748166, 0.9522546419098143, 0.526930564568462, 359, 18, 2187, 2436
tfidf_1, poly, 3, 0.1, 0.7244, 0.9261586802827966, 0.515077424612877, 0.6645997745208568, 0.8705234159779615, 2358, 1190, 188, 1264
tfidf_1, sigmoid, -1, 0.1, 0.8392, 0.7926158680282797, 0.8875305623471883, 0.8796861377506539, 0.8048780487804879, 2018, 276, 528, 2178
tfidf_1, linear, -1, 0.01, 0.6968, 0.4426551453260016, 0.9604726976365118, 0.920751633986928, 0.6242055084745762, 1127, 97, 1419, 2357
tfidf_1, rbf, -1, 0.01, 0.6682, 0.377847604084839, 0.969437652811736, 0.9276759884281581, 0.6003028009084027, 962, 75, 1584, 2379
tfidf_1, poly, 2, 0.01, 0.559, 0.14100549882168106, 0.9926650366748166, 0.9522546419098143, 0.526930564568462, 359, 18, 2187, 2436
tfidf_1, poly, 3, 0.01, 0.7244, 0.9261586802827966, 0.515077424612877, 0.6645997745208568, 0.8705234159779615, 2358, 1190, 188, 1264
tfidf_1, sigmoid, -1, 0.01, 0.6984, 0.4461901021209741, 0.9600651996740016, 0.9205834683954619, 0.6255974508762613, 1136, 98, 1410, 2356
tfidf_1_2, linear, -1, 1.0, 0.8678, 0.8692065985860172, 0.8663406682966586, 0.8709169618260527, 0.8645790971939813, 2213, 328, 333, 2126
tfidf_1_2, rbf, -1, 1.0, 0.8704, 0.8656716417910447, 0.8753056234718827, 0.8780876494023905, 0.8626506024096385, 2204, 306, 342, 2148
