Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_1, 20, 3, 400, 0.8402, 0.8150039277297721, 0.8663406682966586, 0.8635039533915938, 0.8186368887177512, 2075, 328, 471, 2126
bow_1_1, 20, 3, 800, 0.839, 0.8095051060487038, 0.86960065199674, 0.8656026879462411, 0.8148148148148148, 2061, 320, 485, 2134
bow_1_1, 25, 3, 100, 0.8284, 0.8020424194815396, 0.8557457212713936, 0.8522537562604341, 0.8064516129032258, 2042, 354, 504, 2100
bow_1_1, 25, 3, 400, 0.8416, 0.8177533385703064, 0.8663406682966586, 0.8639004149377594, 0.8208494208494208, 2082, 328, 464, 2126
bow_1_1, 25, 3, 800, 0.8396, 0.8142183817753339, 0.8659331703341483, 0.8630308076602831, 0.8179368745188607, 2073, 329, 473, 2125
bow_1_1, 15, 5, 100, 0.8214, 0.7757266300078555, 0.8687856560717196, 0.8598171528080104, 0.7887532371439142, 1975, 322, 571, 2132
bow_1_1, 15, 5, 400, 0.8372, 0.805184603299293, 0.8704156479217604, 0.8657094594594594, 0.8115501519756839, 2050, 318, 496, 2136
bow_1_1, 15, 5, 800, 0.8404, 0.8043990573448547, 0.8777506112469438, 0.8722316865417377, 0.8122171945701357, 2048, 300, 498, 2154
bow_1_1, 20, 5, 100, 0.8286, 0.793401413982718, 0.865118174409128, 0.8592088472990217, 0.801434503586259, 2020, 331, 526, 2123
bow_1_1, 20, 5, 400, 0.8372, 0.8110761979575806, 0.8643031784841075, 0.8611342785654712, 0.815142198308993, 2065, 333, 481, 2121
bow_1_1, 20, 5, 800, 0.837, 0.8059701492537313, 0.8691931540342298, 0.8647281921618205, 0.8119527978682908, 2052, 321, 494, 2133
bow_1_1, 25, 5, 100, 0.8296, 0.8012568735271013, 0.8590057049714751, 0.8549874266554903, 0.8064269319051263, 2040, 346, 506, 2108
bow_1_1, 25, 5, 400, 0.8376, 0.809897879025923, 0.8663406682966586, 0.8627615062761507, 0.8145593869731801, 2062, 328, 484, 2126
bow_1_1, 25, 5, 800, 0.8378, 0.8079340141398271, 0.8687856560717196, 0.8646490121899958, 0.8134299885539871, 2057, 322, 489, 2132
bow_1_1, 15, 7, 100, 0.822, 0.7757266300078555, 0.8700081499592502, 0.8609415867480383, 0.7889874353288987, 1975, 319, 571, 2135
bow_1_1, 15, 7, 400, 0.8378, 0.8063629222309505, 0.8704156479217604, 0.8658793757908055, 0.8124762267021681, 2053, 318, 493, 2136
bow_1_1, 15, 7, 800, 0.8396, 0.8032207384131972, 0.8773431132844336, 0.8716965046888321, 0.8112283345892992, 2045, 301, 501, 2153
bow_1_1, 20, 7, 100, 0.8288, 0.7941869599371564, 0.8647106764466178, 0.8589634664401019, 0.8019652305366591, 2022, 332, 524, 2122
bow_1_1, 20, 7, 400, 0.84, 0.8095051060487038, 0.871638141809291, 0.8674242424242424, 0.8151676829268293, 2061, 315, 485, 2139
bow_1_1, 20, 7, 800, 0.84, 0.805184603299293, 0.876120619396903, 0.8708581138487681, 0.8125472411186697, 2050, 304, 496, 2150
bow_1_1, 25, 7, 100, 0.8324, 0.802827965435978, 0.863080684596577, 0.8588235294117647, 0.8083969465648855, 2044, 336, 502, 2118
