Model name, kernel, degree, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
d2vdbow, sigmoid, 3, 0.8486, 0.8727415553809897, 0.8235533822330888, 0.8369114877589454, 0.8618336886993604, 2222, 433, 324, 2021
d2vdbow, linear, 3, 0.8518, 0.8664571877454831, 0.8365933170334149, 0.8461833525124665, 0.8579189302131216, 2206, 401, 340, 2053
d2vdbow, 3, 3, 0.8542, 0.875490966221524, 0.8321108394458028, 0.8439984854221886, 0.8656210258584146, 2229, 412, 317, 2042
d2vdbow, poly, 2, 0.8436, 0.8982717989002357, 0.786878565607172, 0.8138790035587189, 0.8817351598173516, 2287, 523, 259, 1931
d2vdbow, poly, 3, 0.7768, 0.9540455616653575, 0.5929095354523227, 0.7085764294049008, 0.9255725190839694, 2429, 999, 117, 1455
d2vdbow, sigmoid, 3, 0.851, 0.8739198743126473, 0.8272208638956805, 0.8399395998489996, 0.8634623564440663, 2225, 424, 321, 2030
d2vdbow, linear, 3, 0.852, 0.8727415553809897, 0.830480847595762, 0.8423047763457164, 0.8628281117696867, 2222, 416, 324, 2038
d2vdbow, 3, 3, 0.84, 0.9049489395129615, 0.7726161369193154, 0.8050314465408805, 0.8868101028999065, 2304, 558, 242, 1896
d2vdbow, poly, 2, 0.8362, 0.915553809897879, 0.7538712306438468, 0.7942078364565588, 0.8958837772397095, 2331, 604, 215, 1850
d2vdbow, poly, 3, 0.7184, 0.9736842105263158, 0.45354523227383864, 0.6489528795811519, 0.9432203389830508, 2479, 1341, 67, 1113
d2vdbow, sigmoid, 3, 0.8468, 0.882560879811469, 0.8096984515077424, 0.8279292557111275, 0.8692038495188101, 2247, 467, 299, 1987
d2vdm100, linear, 3, 0.8286, 0.8688138256087982, 0.786878565607172, 0.8087751371115174, 0.8525386313465784, 2212, 523, 334, 1931
d2vdm100, 3, 3, 0.8336, 0.8495679497250589, 0.8170334148329258, 0.8281010719754976, 0.8396147403685092, 2163, 449, 383, 2005
d2vdm100, poly, 2, 0.8004, 0.8389630793401414, 0.7603911980440098, 0.7841409691629956, 0.819859402460457, 2136, 588, 410, 1866
d2vdm100, poly, 3, 0.8306, 0.8566378633150039, 0.8035859820700897, 0.8190011265490049, 0.8438168592212237, 2181, 482, 365, 1972
