Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf,15,2,800,0.852,0.812,0.894,0.889,0.821,2067,259,479,2195
tfidf,20,2,100,0.831,0.793,0.872,0.865,0.802,2018,315,528,2139
tfidf,20,2,400,0.848,0.813,0.885,0.880,0.820,2069,282,477,2172
tfidf,20,2,800,0.854,0.815,0.893,0.888,0.823,2076,262,470,2192
tfidf,25,2,100,0.841,0.804,0.879,0.873,0.812,2047,298,499,2156
tfidf,25,2,400,0.851,0.813,0.890,0.885,0.821,2071,270,475,2184
tfidf,25,2,800,0.856,0.819,0.894,0.889,0.827,2086,260,460,2194
tfidf,15,3,100,0.826,0.775,0.879,0.869,0.790,1974,298,572,2156
tfidf,15,3,400,0.848,0.806,0.891,0.885,0.816,2053,268,493,2186
tfidf,15,3,800,0.848,0.806,0.893,0.886,0.816,2051,263,495,2191
tfidf,20,3,100,0.829,0.778,0.882,0.873,0.793,1981,289,565,2165
tfidf,20,3,400,0.850,0.810,0.892,0.886,0.819,2063,266,483,2188
tfidf,20,3,800,0.851,0.808,0.896,0.889,0.818,2058,256,488,2198
tfidf,25,3,100,0.840,0.803,0.877,0.872,0.811,2045,301,501,2153
tfidf,25,3,400,0.851,0.815,0.888,0.883,0.822,2075,274,471,2180
tfidf,25,3,800,0.856,0.817,0.896,0.891,0.825,2080,255,466,2199
tfidf,15,5,100,0.831,0.782,0.881,0.873,0.796,1992,291,554,2163
tfidf,15,5,400,0.847,0.802,0.892,0.886,0.813,2043,264,503,2190
tfidf,15,5,800,0.849,0.803,0.897,0.890,0.815,2045,253,501,2201
tfidf,20,5,100,0.835,0.786,0.885,0.876,0.800,2002,283,544,2171
tfidf,20,5,400,0.846,0.807,0.887,0.881,0.816,2054,277,492,2177
tfidf,20,5,800,0.852,0.808,0.896,0.890,0.818,2058,254,488,2200
tfidf,25,5,100,0.835,0.790,0.881,0.873,0.802,2012,292,534,2162
tfidf,25,5,400,0.850,0.811,0.890,0.885,0.820,2065,269,481,2185
tfidf,25,5,800,0.852,0.811,0.896,0.890,0.820,2064,256,482,2198
tfidf,15,7,100,0.831,0.781,0.883,0.874,0.795,1988,286,558,2168
tfidf,15,7,400,0.846,0.802,0.891,0.884,0.812,2041,267,505,2187
tfidf,15,7,800,0.849,0.805,0.894,0.887,0.816,2050,261,496,2193
tfidf,20,7,100,0.835,0.786,0.886,0.878,0.800,2001,279,545,2175
tfidf,20,7,400,0.846,0.804,0.891,0.884,0.814,2046,268,500,2186
tfidf,20,7,800,0.852,0.808,0.897,0.891,0.819,2058,253,488,2201
tfidf,25,7,100,0.837,0.796,0.880,0.873,0.806,2026,295,520,2159
tfidf,25,7,400,0.852,0.810,0.896,0.890,0.820,2063,256,483,2198
tfidf,25,7,800,0.855,0.813,0.900,0.894,0.822,2069,246,477,2208
tfidf,15,10,100,0.829,0.777,0.883,0.873,0.793,1979,288,567,2166
tfidf,15,10,400,0.848,0.802,0.895,0.888,0.813,2041,257,505,2197
tfidf,15,10,800,0.850,0.806,0.896,0.890,0.817,2052,254,494,2200
tfidf,20,10,100,0.832,0.783,0.883,0.875,0.797,1993,286,553,2168
tfidf,20,10,400,0.846,0.802,0.891,0.884,0.813,2042,267,504,2187
tfidf,20,10,800,0.852,0.809,0.898,0.891,0.819,2059,251,487,2203
tfidf,25,10,100,0.841,0.797,0.886,0.879,0.808,2030,279,516,2175
tfidf,25,10,400,0.849,0.806,0.894,0.887,0.816,2052,261,494,2193
tfidf,25,10,800,0.853,0.813,0.894,0.889,0.821,2069,259,477,2195
tfidf,15,13,100,0.831,0.779,0.885,0.875,0.794,1983,282,563,2172
tfidf,15,13,400,0.848,0.800,0.896,0.889,0.812,2038,254,508,2200
tfidf,15,13,800,0.853,0.810,0.898,0.892,0.820,2061,250,485,2204
tfidf,20,13,100,0.835,0.787,0.884,0.876,0.800,2004,284,542,2170
tfidf,20,13,400,0.848,0.804,0.894,0.888,0.814,2046,259,500,2195
tfidf,20,13,800,0.851,0.808,0.896,0.890,0.818,2058,255,488,2199
tfidf,25,13,100,0.834,0.788,0.883,0.874,0.800,2006,288,540,2166
tfidf,25,13,400,0.850,0.811,0.891,0.886,0.820,2065,267,481,2187
tfidf,25,13,800,0.855,0.814,0.898,0.892,0.823,2073,251,473,2203
d2vdbow,15,2,100,0.815,0.889,0.738,0.779,0.865,2264,644,282,1810
d2vdbow,15,2,400,0.825,0.892,0.755,0.790,0.871,2271,602,275,1852
d2vdbow,15,2,800,0.827,0.895,0.757,0.792,0.874,2278,597,268,1857
d2vdbow,20,2,100,0.817,0.875,0.757,0.789,0.854,2229,597,317,1857
d2vdbow,20,2,400,0.827,0.894,0.758,0.793,0.873,2275,594,271,1860
d2vdbow,20,2,800,0.828,0.894,0.760,0.794,0.874,2276,589,270,1865
d2vdbow,25,2,100,0.819,0.885,0.751,0.787,0.863,2253,611,293,1843
d2vdbow,25,2,400,0.828,0.895,0.758,0.794,0.875,2279,593,267,1861
d2vdbow,25,2,800,0.830,0.897,0.760,0.795,0.876,2283,588,263,1866
d2vdbow,15,3,100,0.821,0.893,0.747,0.785,0.871,2274,621,272,1833
d2vdbow,15,3,400,0.826,0.890,0.759,0.793,0.869,2266,591,280,1863
d2vdbow,15,3,800,0.827,0.895,0.758,0.793,0.874,2278,595,268,1859
d2vdbow,20,3,100,0.821,0.887,0.753,0.788,0.865,2258,606,288,1848
d2vdbow,20,3,400,0.829,0.892,0.765,0.797,0.872,2270,577,276,1877
d2vdbow,20,3,800,0.831,0.892,0.768,0.799,0.872,2270,570,276,1884
d2vdbow,25,3,100,0.820,0.881,0.758,0.790,0.859,2242,595,304,1859
d2vdbow,25,3,400,0.833,0.891,0.773,0.803,0.873,2269,556,277,1898
d2vdbow,25,3,800,0.832,0.894,0.767,0.799,0.875,2276,572,270,1882
d2vdbow,15,5,100,0.814,0.891,0.734,0.776,0.866,2268,653,278,1801
d2vdbow,15,5,400,0.823,0.890,0.753,0.789,0.868,2266,605,280,1849
d2vdbow,15,5,800,0.825,0.895,0.753,0.790,0.873,2278,605,268,1849
d2vdbow,20,5,100,0.828,0.888,0.766,0.798,0.868,2261,574,285,1880
d2vdbow,20,5,400,0.827,0.887,0.764,0.796,0.867,2258,578,288,1876
d2vdbow,20,5,800,0.829,0.893,0.763,0.796,0.873,2273,581,273,1873
d2vdbow,25,5,100,0.822,0.887,0.756,0.790,0.866,2258,600,288,1854
d2vdbow,25,5,400,0.830,0.891,0.767,0.798,0.872,2269,573,277,1881
