Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf, 15, 2, 100, 0.8328, 0.7906520031421839, 0.8765281173594132, 0.8691709844559585, 0.8014157973174366, 2013, 303, 533, 2151
tfidf, 15, 2, 400, 0.8388, 0.8024351924587588, 0.8765281173594132, 0.870843989769821, 0.8104747550866617, 2043, 303, 503, 2151
tfidf, 15, 2, 800, 0.8416, 0.8040062843676355, 0.8806030969845151, 0.8747863247863248, 0.812406015037594, 2047, 293, 499, 2161
tfidf, 20, 2, 100, 0.8288, 0.7902592301649647, 0.8687856560717196, 0.8620394173093402, 0.7996999249812453, 2012, 322, 534, 2132
tfidf, 20, 2, 400, 0.8404, 0.8079340141398271, 0.8740831295843521, 0.8693998309382924, 0.8143507972665148, 2057, 309, 489, 2145
tfidf, 20, 2, 800, 0.8412, 0.8075412411626081, 0.876120619396903, 0.8711864406779661, 0.8143939393939394, 2056, 304, 490, 2150
tfidf, 25, 2, 100, 0.839, 0.7985074626865671, 0.8810105949470253, 0.8744086021505376, 0.8082242990654206, 2033, 292, 513, 2162
tfidf, 25, 2, 400, 0.8434, 0.8130400628436764, 0.8748981255093724, 0.8708456037021456, 0.8185284025924514, 2070, 307, 476, 2147
tfidf, 25, 2, 800, 0.8456, 0.8138256087981147, 0.8785656071719642, 0.8742616033755274, 0.8197718631178708, 2072, 298, 474, 2156
tfidf, 15, 3, 100, 0.8306, 0.7820109976433621, 0.8810105949470253, 0.8720981165133597, 0.7957305852042694, 1991, 292, 555, 2162
tfidf, 15, 3, 400, 0.8364, 0.795758051846033, 0.8785656071719642, 0.8717728055077453, 0.8056801195814649, 2026, 298, 520, 2156
tfidf, 15, 3, 800, 0.8388, 0.7945797329143754, 0.884678076609617, 0.8772766695576756, 0.805864884929473, 2023, 283, 523, 2171
tfidf, 20, 3, 100, 0.8352, 0.7875098193244304, 0.884678076609617, 0.8763111888111889, 0.8005162241887905, 2005, 283, 541, 2171
tfidf, 20, 3, 400, 0.8382, 0.7992930086410055, 0.8785656071719642, 0.8722674667809687, 0.8083989501312336, 2035, 298, 511, 2156
tfidf, 20, 3, 800, 0.843, 0.802827965435978, 0.884678076609617, 0.8783841856467555, 0.8121960344182566, 2044, 283, 502, 2171
tfidf, 25, 3, 100, 0.8306, 0.7910447761194029, 0.871638141809291, 0.8647488192357234, 0.8008236615499813, 2014, 315, 532, 2139
tfidf, 25, 3, 400, 0.8384, 0.7992930086410055, 0.8789731051344744, 0.8726415094339622, 0.8084707646176912, 2035, 297, 511, 2157
tfidf, 25, 3, 800, 0.8406, 0.8067556952081697, 0.8757131214343928, 0.870707927087749, 0.8137069291934873, 2054, 305, 492, 2149
tfidf, 15, 5, 100, 0.8312, 0.7784760408483896, 0.8859005704971475, 0.8762157382847038, 0.7940102264426588, 1982, 280, 564, 2174
tfidf, 15, 5, 400, 0.8362, 0.7965435978004713, 0.8773431132844336, 0.8707599828252469, 0.8060651441407712, 2028, 301, 518, 2153
tfidf, 15, 5, 800, 0.8398, 0.7977219167321288, 0.8834555827220864, 0.8765645230902028, 0.8080506895266493, 2031, 286, 515, 2168
tfidf, 20, 5, 100, 0.8274, 0.7851531814611155, 0.8712306438467807, 0.8634989200863931, 0.7962756052141527, 1999, 316, 547, 2138
tfidf, 20, 5, 400, 0.8394, 0.7996857816182247, 0.8806030969845151, 0.8741949334478317, 0.8090602770497941, 2036, 293, 510, 2161
tfidf, 20, 5, 800, 0.8398, 0.7992930086410055, 0.8818255908720456, 0.875268817204301, 0.8089719626168225, 2035, 290, 511, 2164
tfidf, 25, 5, 100, 0.838, 0.7953652788688138, 0.8822330888345559, 0.8751080380293863, 0.8060312732688012, 2025, 289, 521, 2165
tfidf, 25, 5, 400, 0.841, 0.8047918303220738, 0.8785656071719642, 0.8730293992330634, 0.8126649076517151, 2049, 298, 497, 2156
tfidf, 25, 5, 800, 0.842, 0.8055773762765122, 0.8797881010594947, 0.8742540494458653, 0.8134890730972117, 2051, 295, 495, 2159
tfidf, 15, 7, 100, 0.829, 0.7765121759622938, 0.8834555827220864, 0.8736190897039329, 0.7921081476068689, 1977, 286, 569, 2168
tfidf, 15, 7, 400, 0.8362, 0.7973291437549097, 0.8765281173594132, 0.8701243034719246, 0.8065241844769404, 2030, 303, 516, 2151
tfidf, 15, 7, 800, 0.8382, 0.7937941869599372, 0.8842705786471068, 0.8767895878524946, 0.8051948051948052, 2021, 284, 525, 2170
tfidf, 20, 7, 100, 0.83, 0.7827965435978005, 0.8789731051344744, 0.8703056768558952, 0.7959409594095941, 1993, 297, 553, 2157
tfidf, 20, 7, 400, 0.8386, 0.7977219167321288, 0.8810105949470253, 0.8743004735256135, 0.80762047067613, 2031, 292, 515, 2162
tfidf, 20, 7, 800, 0.844, 0.8040062843676355, 0.8854930725346374, 0.8792955326460481, 0.813248502994012, 2047, 281, 499, 2173
tfidf, 25, 7, 100, 0.8302, 0.788688138256088, 0.8732681336593318, 0.8658904700301854, 0.7993286087280865, 2008, 311, 538, 2143
tfidf, 25, 7, 400, 0.8368, 0.7985074626865671, 0.8765281173594132, 0.870291095890411, 0.8074324324324325, 2033, 303, 513, 2151
tfidf, 25, 7, 800, 0.8404, 0.8040062843676355, 0.8781581092094539, 0.8725490196078431, 0.8119819140919367, 2047, 299, 499, 2155
tfidf, 15, 10, 100, 0.8276, 0.779261586802828, 0.8777506112469438, 0.8686514886164624, 0.7930780559646539, 1984, 300, 562, 2154
tfidf, 15, 10, 400, 0.8332, 0.7914375490966221, 0.8765281173594132, 0.869283865401208, 0.802013422818792, 2015, 303, 531, 2151
tfidf, 15, 10, 800, 0.8372, 0.7930086410054988, 0.8830480847595762, 0.8755420641803989, 0.8043801039346696, 2019, 287, 527, 2167
tfidf, 20, 10, 100, 0.83, 0.7855459544383346, 0.876120619396903, 0.8680555555555556, 0.7974777448071216, 2000, 304, 546, 2150
tfidf, 20, 10, 400, 0.8362, 0.7989002356637863, 0.8748981255093724, 0.8688594617684751, 0.8074464084242197, 2034, 307, 512, 2147
tfidf, 20, 10, 800, 0.8398, 0.8032207384131972, 0.8777506112469438, 0.8720682302771855, 0.8112994350282486, 2045, 300, 501, 2154
tfidf, 25, 10, 100, 0.8382, 0.7977219167321288, 0.8801955990220048, 0.8735483870967742, 0.8074766355140187, 2031, 294, 515, 2160
tfidf, 25, 10, 400, 0.8396, 0.805184603299293, 0.8753056234718827, 0.870118845500849, 0.8124054462934948, 2050, 306, 496, 2148
tfidf, 25, 10, 800, 0.841, 0.8059701492537313, 0.8773431132844336, 0.8720781980450488, 0.8133736305251228, 2052, 301, 494, 2153
tfidf, 15, 13, 100, 0.8274, 0.7729772191673213, 0.8838630806845966, 0.8735019973368842, 0.7895886421550783, 1968, 285, 578, 2169
tfidf, 15, 13, 400, 0.838, 0.7992930086410055, 0.8781581092094539, 0.8718937446443873, 0.8083270817704427, 2035, 299, 511, 2155
tfidf, 15, 13, 800, 0.8374, 0.7965435978004713, 0.8797881010594947, 0.8730090400344382, 0.806499813223758, 2028, 295, 518, 2159
tfidf, 20, 13, 100, 0.8324, 0.7898664571877455, 0.8765281173594132, 0.8690579083837511, 0.800819061801936, 2011, 303, 535, 2151
tfidf, 20, 13, 400, 0.8384, 0.8024351924587588, 0.8757131214343928, 0.8701022146507666, 0.8103318250377074, 2043, 305, 503, 2149
tfidf, 20, 13, 800, 0.84, 0.802827965435978, 0.8785656071719642, 0.8727583262169086, 0.8111361926260346, 2044, 298, 502, 2156
