Model name, C, solver, penalty, l1_ratio, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tf-idf, 0.0001, lbfgs, l2, -1, 0.7594, 0.812254516889238, 0.7045639771801141, 0.740422484783387, 0.7834164023561395, 2068, 725, 478, 1729
tf-idf, 0.001, liblinear, l2, -1, 0.7614, 0.7513747054202671, 0.771801140994295, 0.7735543873837445, 0.7495053423031263, 1913, 560, 633, 1894
tf-idf, 0.0001, liblinear, l2, -1, 0.7588, 0.8165750196386489, 0.6988590057049715, 0.7377572746628814, 0.7859761686526123, 2079, 739, 467, 1715
tf-idf, 0.001, sag, l2, -1, 0.755, 0.6849960722702279, 0.8276283618581907, 0.8047992616520535, 0.7169078715142958, 1744, 423, 802, 2031
tf-idf, 0.0001, sag, l2, -1, 0.7626, 0.7910447761194029, 0.7330888345558272, 0.7545897339827651, 0.7717717717717718, 2014, 655, 532, 1799
tf-idf, 0.001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
tf-idf, 0.0001, saga, l1, -1, 0.4908, 0.0, 1.0, nan, 0.4908, 0, 0, 2546, 2454
tf-idf, 0.001, saga, l2, -1, 0.7632, 0.7611940298507462, 0.7652811735941321, 0.7708830548926014, 0.7554304102976669, 1938, 576, 608, 1878
tf-idf, 0.0001, saga, l2, -1, 0.6752, 0.41044776119402987, 0.9498777506112469, 0.8946917808219178, 0.6082985386221295, 1045, 123, 1501, 2331

d2vdm50, 1.0, lbfgs, l2, -1, 0.827, 0.877847604084839, 0.7742461287693562, 0.8013624955181069, 0.8593396653098145, 2235, 554, 311, 1900

d2vdbow50, 1.0, lbfgs, l2, -1, 0.852, 0.8766692851531814, 0.8264058679706602, 0.8397291196388262, 0.8659265584970111, 2232, 426, 314, 2028

d2vdm100, 1.0, lbfgs, l2, -1, 0.8284, 0.8695993715632364, 0.7856560717196414, 0.808029197080292, 0.8530973451327434, 2214, 526, 332, 1928
d2vdm100, 0.001, newton-cg, l2, -1, 0.8326, 0.8499607227022781, 0.8145884270578647, 0.8262695685376098, 0.8395632087358252, 2164, 455, 382, 1999
d2vdm100, 0.0001, newton-cg, l2, -1, 0.8318, 0.8487824037706205, 0.8141809290953546, 0.8257546809323653, 0.8384389425094418, 2161, 456, 385, 1998
d2vdm100, 0.001, lbfgs, l2, -1, 0.8326, 0.8499607227022781, 0.8145884270578647, 0.8262695685376098, 0.8395632087358252, 2164, 455, 382, 1999
d2vdm100, 0.0001, lbfgs, l2, -1, 0.8318, 0.8487824037706205, 0.8141809290953546, 0.8257546809323653, 0.8384389425094418, 2161, 456, 385, 1998
d2vdm100, 0.001, liblinear, l2, -1, 0.837, 0.8397486252945797, 0.8341483292583537, 0.8400785854616896, 0.8338085539714868, 2138, 407, 408, 2047
d2vdm100, 0.0001, liblinear, l2, -1, 0.8306, 0.8377847604084839, 0.8231458842705787, 0.830931047915855, 0.8302507192766132, 2133, 434, 413, 2020
d2vdm100, 0.001, sag, l2, -1, 0.8328, 0.8499607227022781, 0.8149959250203749, 0.826585179526356, 0.8396305625524769, 2164, 454, 382, 2000
d2vdm100, 0.0001, sag, l2, -1, 0.8318, 0.8487824037706205, 0.8141809290953546, 0.8257546809323653, 0.8384389425094418, 2161, 456, 385, 1998
d2vdm100, 0.001, saga, l1, -1, 0.7146, 0.7089552238805971, 0.7204563977180114, 0.7246085909273384, 0.7046632124352331, 1805, 686, 741, 1768
d2vdm100, 0.0001, saga, l1, -1, 0.5092, 1.0, 0.0, 0.5092, nan, 2546, 2454, 0, 0
d2vdm100, 0.001, saga, l2, -1, 0.8334, 0.8495679497250589, 0.8166259168704156, 0.8277841561423651, 0.8395475492249685, 2163, 450, 383, 2004
d2vdm100, 0.0001, saga, l2, -1, 0.8318, 0.8487824037706205, 0.8141809290953546, 0.8257546809323653, 0.8384389425094418, 2161, 456, 385, 1998

d2vdbow100, 1.0, lbfgs, l2, -1, 0.8574, 0.8719560094265515, 0.8422982885085575, 0.8515535097813579, 0.863769327204346, 2220, 387, 326, 2067
